local_id;type_local;surf_carre;nb_piece_princ;surf_terrain;nature_cult;nature_cult_spec;cadastre_id
6478;Appartement;56,01;2;;;;29090
9063;Appartement;56,01;3;;;;13298
9064;Maison;56,01;3;;;;28844
6479;Appartement;56,02;2;;;;2044
9065;Appartement;56,02;3;;;;4934
12854;Appartement;56,02;4;;;;29153
6480;Appartement;56,03;2;;;;22166
9066;Appartement;56,03;3;;;;2621
6481;Appartement;56,04;2;;;;2658
12855;Appartement;56,04;4;;;;19432
17627;Appartement;56,04;6;;;;22213
6482;Appartement;56,05;2;;;;12157
9067;Appartement;56,05;3;;;;998
9068;Maison;56,05;3;;;;3790
2852;Appartement;56,06;1;;;;16751
6483;Appartement;56,06;2;;;;25516
9069;Appartement;56,06;3;;;;18826
6484;Appartement;56,07;2;;;;9641
9070;Appartement;56,07;3;;;;1316
6485;Appartement;56,08;2;;;;3872
9071;Appartement;56,08;3;;;;2565
6486;Appartement;56,09;2;;;;151
9072;Appartement;56,09;3;;;;7258
6487;Appartement;56,10;2;;;;3066
9073;Appartement;56,10;3;;;;13116
9074;Maison;56,10;3;;;;20825
12856;Appartement;56,10;4;;;;151
9075;Appartement;56,11;3;;;;151
12857;Appartement;56,11;4;;;;20692
6488;Appartement;56,12;2;;;;19784
9076;Appartement;56,12;3;;;;21422
6489;Appartement;56,13;2;;;;21494
9077;Appartement;56,13;3;;;;18514
2853;Appartement;56,14;1;;;;3078
9078;Appartement;56,14;3;;;;22758
6490;Appartement;56,15;2;;;;9732
9079;Appartement;56,15;3;;;;21067
9080;Appartement;56,16;3;;;;26061
9081;Appartement;56,17;3;;;;1437
9082;Maison;56,17;3;;;;11529
6491;Appartement;56,18;2;;;;9935
9083;Appartement;56,18;3;;;;10044
2854;Appartement;56,19;1;;;;18172
6492;Appartement;56,19;2;;;;2940
6493;Maison;56,19;2;;;;29566
9084;Appartement;56,19;3;;;;2947
6494;Appartement;56,20;2;;;;7124
9085;Appartement;56,20;3;;;;71
12858;Appartement;56,20;4;;;;110
6495;Appartement;56,21;2;;;;16034
9086;Appartement;56,21;3;;;;26988
9087;Maison;56,21;3;;;;2157
6496;Appartement;56,22;2;;;;2661
9088;Appartement;56,22;3;;;;18784
6497;Appartement;56,23;2;;;;23668
6498;Maison;56,23;2;;;;20276
9089;Appartement;56,23;3;;;;8205
6499;Appartement;56,24;2;;;;8
9090;Appartement;56,24;3;;;;1975
6500;Appartement;56,25;2;;;;937
9091;Appartement;56,25;3;;;;19022
9092;Appartement;56,26;3;;;;12277
9093;Maison;56,26;3;;;;110
2855;Appartement;56,27;1;;;;25639
6501;Appartement;56,27;2;;;;15790
9094;Appartement;56,27;3;;;;1962
9095;Appartement;56,28;3;;;;1096
9096;Maison;56,28;3;;;;10930
2856;Appartement;56,29;1;;;;20372
6502;Appartement;56,29;2;;;;24269
9097;Appartement;56,29;3;;;;3347
6503;Appartement;56,30;2;;;;24028
9098;Appartement;56,30;3;;;;14318
2857;Appartement;56,31;1;;;;13668
6504;Appartement;56,31;2;;;;10513
9099;Appartement;56,31;3;;;;3444
6505;Appartement;56,32;2;;;;6532
9100;Appartement;56,32;3;;;;11902
6506;Appartement;56,33;2;;;;9450
6507;Appartement;56,34;2;;;;21868
9101;Appartement;56,34;3;;;;20450
12859;Appartement;56,34;4;;;;6590
6508;Appartement;56,35;2;;;;8430
9102;Appartement;56,36;3;;;;22951
9103;Appartement;56,37;3;;;;15020
6509;Appartement;56,38;2;;;;12290
9104;Appartement;56,38;3;;;;22
9105;Appartement;56,39;3;;;;23912
9106;Appartement;56,40;3;;;;24437
9107;Appartement;56,41;3;;;;12168
2858;Appartement;56,42;1;;;;23794
9108;Appartement;56,42;3;;;;2241
6510;Maison;56,43;2;;;;16972
9109;Appartement;56,43;3;;;;18686
6511;Appartement;56,44;2;;;;3756
9110;Appartement;56,44;3;;;;1215
6512;Appartement;56,45;2;;;;3992
9111;Appartement;56,45;3;;;;9371
9112;Maison;56,45;3;;;;12399
6513;Appartement;56,46;2;;;;3990
9113;Appartement;56,46;3;;;;10271
12860;Maison;56,46;4;;;;17288
6514;Appartement;56,47;2;;;;3626
12861;Appartement;56,47;4;;;;9348
6515;Appartement;56,49;2;;;;13950
9114;Appartement;56,49;3;;;;29792
6516;Appartement;56,50;2;;;;21630
9115;Appartement;56,50;3;;;;12190
9116;Maison;56,50;3;;;;4936
6517;Appartement;56,51;2;;;;28017
9117;Appartement;56,51;3;;;;22931
9118;Maison;56,51;3;;;;1763
6518;Appartement;56,52;2;;;;16324
9119;Appartement;56,52;3;;;;441
9120;Maison;56,52;3;;;;3934
12862;Appartement;56,52;4;;;;27025
9121;Appartement;56,53;3;;;;2149
9122;Appartement;56,54;3;;;;16542
12863;Appartement;56,54;4;;;;16421
6519;Appartement;56,55;2;;;;25620
9123;Appartement;56,55;3;;;;4825
9124;Appartement;56,56;3;;;;13019
6520;Appartement;56,57;2;;;;20320
9125;Appartement;56,57;3;;;;17005
12864;Appartement;56,57;4;;;;29782
9126;Appartement;56,58;3;;;;28621
6521;Appartement;56,59;2;;;;228
9127;Appartement;56,59;3;;;;5281
2859;Appartement;56,60;1;;;;144
6522;Appartement;56,60;2;;;;21400
9128;Appartement;56,60;3;;;;12214
6523;Appartement;56,61;2;;;;4047
9129;Appartement;56,61;3;;;;2404
9130;Appartement;56,62;3;;;;21564
12865;Appartement;56,62;4;;;;866
6524;Appartement;56,63;2;;;;25454
9131;Appartement;56,63;3;;;;21762
6525;Appartement;56,64;2;;;;18250
9132;Appartement;56,64;3;;;;11860
12866;Appartement;56,64;4;;;;23130
6526;Appartement;56,65;2;;;;8
9133;Appartement;56,65;3;;;;508
9134;Appartement;56,66;3;;;;18307
6527;Appartement;56,67;2;;;;29660
9135;Appartement;56,67;3;;;;9459
9136;Appartement;56,68;3;;;;2773
9137;Appartement;56,69;3;;;;12865
12867;Appartement;56,69;4;;;;3677
6528;Appartement;56,70;2;;;;15736
6529;Appartement;56,71;2;;;;17229
9138;Appartement;56,71;3;;;;3530
6530;Appartement;56,72;2;;;;627
9139;Appartement;56,72;3;;;;6500
6531;Appartement;56,73;2;;;;26857
9140;Appartement;56,73;3;;;;23860
6532;Appartement;56,74;2;;;;23374
9141;Appartement;56,74;3;;;;2956
6533;Appartement;56,75;2;;;;3099
9142;Appartement;56,75;3;;;;23828
9143;Appartement;56,76;3;;;;781
6534;Appartement;56,77;2;;;;2223
9144;Appartement;56,77;3;;;;8025
6535;Appartement;56,78;2;;;;11201
9145;Appartement;56,78;3;;;;7654
9146;Appartement;56,79;3;;;;29432
2860;Appartement;56,80;1;;;;28623
6536;Appartement;56,80;2;;;;29330
9147;Appartement;56,80;3;;;;670
9148;Appartement;56,81;3;;;;9326
12868;Appartement;56,81;4;;;;19732
6537;Appartement;56,82;2;;;;334
9149;Appartement;56,82;3;;;;20940
6538;Appartement;56,83;2;;;;20365
9150;Appartement;56,83;3;;;;10928
6539;Appartement;56,84;2;;;;28594
9151;Appartement;56,84;3;;;;17056
6540;Appartement;56,85;2;;;;14807
9152;Appartement;56,85;3;;;;2114
9153;Appartement;56,86;3;;;;6105
6541;Appartement;56,87;2;;;;437
9154;Appartement;56,87;3;;;;21556
6542;Appartement;56,88;2;;;;15979
9155;Appartement;56,88;3;;;;20097
6543;Appartement;56,89;2;;;;16888
9156;Appartement;56,89;3;;;;3881
6544;Appartement;56,90;2;;;;24657
9157;Appartement;56,90;3;;;;11603
12869;Maison;56,90;4;;;;9508
17838;Maison;56,91;3;164;S;;14253
9158;Appartement;56,91;3;;;;398
6545;Appartement;56,92;2;;;;28615
9159;Appartement;56,92;3;;;;5364
12870;Appartement;56,92;4;;;;996
6546;Appartement;56,93;2;;;;3810
9160;Appartement;56,93;3;;;;3674
9161;Appartement;56,94;3;;;;23429
6547;Appartement;56,95;2;;;;1841
9162;Appartement;56,95;3;;;;20458
12871;Appartement;56,95;4;;;;22624
6548;Appartement;56,96;2;;;;13482
9163;Appartement;56,96;3;;;;28271
9164;Appartement;56,97;3;;;;12142
9165;Maison;56,97;3;;;;4861
9166;Appartement;56,98;3;;;;615
6609;Appartement;57,00;2;;;;20974
9270;Appartement;57,00;3;;;;7516
12890;Maison;57,00;4;;;;23365
2861;Appartement;57,01;1;;;;4556
9169;Appartement;57,01;3;;;;9906
9170;Appartement;57,02;3;;;;3964
12873;Appartement;57,02;4;;;;6349
6550;Appartement;57,03;2;;;;7694
9171;Appartement;57,03;3;;;;25763
9172;Appartement;57,04;3;;;;4046
2862;Appartement;57,05;1;;;;9766
6551;Appartement;57,05;2;;;;14109
9173;Appartement;57,05;3;;;;508
6552;Appartement;57,06;2;;;;5857
9174;Appartement;57,06;3;;;;24716
9175;Maison;57,06;3;;;;23007
6553;Appartement;57,07;2;;;;2058
9176;Appartement;57,07;3;;;;26616
6554;Appartement;57,08;2;;;;1168
9177;Appartement;57,08;3;;;;14431
6555;Appartement;57,09;2;;;;2750
9178;Appartement;57,09;3;;;;28619
6556;Appartement;57,10;2;;;;2488
9179;Appartement;57,10;3;;;;26349
6557;Appartement;57,11;2;;;;22486
