mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
26907;1;13/06/2020;83000;1670
26908;1;17/06/2020;83000;6721
26909;1;22/06/2020;83000;10908
26910;1;25/06/2020;83000;4953
26911;1;30/06/2020;83000;6858
26912;1;03/02/2020;830000;6927
26913;1;13/03/2020;830000;11250
26914;1;20/05/2020;830000;12281
26915;1;29/05/2020;830000;17432
26916;1;26/06/2020;830000;15632
26917;1;21/02/2020;83070;5218
26918;1;30/04/2020;83100;5260
26919;1;20/05/2020;83100;1614
26920;1;07/02/2020;83109,61;638
26921;1;30/06/2020;83120;14452
26922;1;19/02/2020;83177;3408
26923;1;20/05/2020;831800;15122
26924;1;13/05/2020;83200;7823
26925;1;01/06/2020;83258;1148
26926;2;04/06/2020;833000;14468
26927;1;15/01/2020;83320;3876
26928;1;20/02/2020;83400;3726
26929;1;30/05/2020;83400;3635
26930;1;09/04/2020;83450;4553
26931;1;05/05/2020;83470;7851
26932;1;07/02/2020;83472,3;277
26933;1;29/05/2020;834938;9642
26934;1;25/01/2020;83500;3399
26935;1;25/02/2020;83500;6421
26936;1;26/02/2020;83500;9416
26937;1;09/03/2020;83500;4821
26938;1;13/03/2020;83500;1260
26939;1;18/03/2020;83500;5842
26940;1;31/03/2020;83500;1670
26941;1;30/04/2020;83500;4948
26942;1;13/05/2020;83500;9936
26943;1;28/05/2020;83500;4065
26944;1;08/06/2020;83500;7547
26945;1;23/06/2020;83500;5328
26946;1;25/06/2020;83500;8969
26947;1;13/02/2020;835000;11336
26948;1;10/04/2020;835000;15428
26949;1;30/04/2020;835000;10599
26950;1;04/06/2020;835000;7153
26951;1;22/06/2020;835000;11611
26952;2;30/06/2020;835000;11526
26953;1;30/01/2020;83509,5;3247
26954;1;09/01/2020;83600;16970
26955;1;24/02/2020;83600;6235
26956;1;13/03/2020;83600;13848
26957;1;20/05/2020;83600;9026
26958;1;05/06/2020;83600;4143
26959;1;09/01/2020;83640;5527
26960;1;29/04/2020;83650;13329
26961;1;29/05/2020;83660;7993
26962;1;31/01/2020;83665;3830
26963;1;23/01/2020;83700;6678
26964;1;17/01/2020;837000;10665
26965;1;20/01/2020;837200;16592
26966;1;24/01/2020;83740;3377
26967;1;17/01/2020;83750;8769
26968;1;10/03/2020;83800;13433
26969;1;30/04/2020;83800;2271
26970;1;26/06/2020;838000;10279
26971;1;06/03/2020;838006,5;17242
26972;1;31/01/2020;83833;1582
26973;1;10/02/2020;838400;10528
26974;1;30/01/2020;83848;4002
26975;1;05/06/2020;838910;9601
26976;1;03/04/2020;83900;1681
26977;1;12/06/2020;839700;10518
26978;1;09/01/2020;83980;667
26979;1;23/04/2020;839800;17750
26980;1;15/05/2020;839900;11560
26981;1;10/03/2020;83999;4307
26982;1;17/01/2020;839990;6944
26983;1;04/01/2020;84000;12142
26984;1;15/01/2020;84000;3708
26985;1;20/01/2020;84000;1582
26986;1;21/01/2020;84000;11583
26987;1;22/01/2020;84000;2272
26988;1;27/01/2020;84000;9034
26989;1;29/01/2020;84000;3356
26990;1;30/01/2020;84000;4813
26991;1;31/01/2020;84000;13179
26992;1;04/02/2020;84000;5823
26993;1;06/02/2020;84000;930
26994;1;15/02/2020;84000;1719
26995;1;24/02/2020;84000;3036
26996;1;25/02/2020;84000;9942
26997;1;27/02/2020;84000;1023
26998;1;02/03/2020;84000;9983
26999;1;05/03/2020;84000;13275
27000;1;06/03/2020;84000;2654
27001;1;11/03/2020;84000;373
27002;1;12/03/2020;84000;6436
27003;1;16/03/2020;84000;1679
27004;1;06/04/2020;84000;9551
27005;1;10/04/2020;84000;9796
27006;1;16/04/2020;84000;4566
27007;1;17/04/2020;84000;14605
27008;1;22/04/2020;84000;8919
27009;1;13/05/2020;84000;7676
27010;1;15/05/2020;84000;15773
27011;1;18/05/2020;84000;15436
27012;1;22/05/2020;84000;671
27013;1;25/05/2020;84000;9515
27014;1;27/05/2020;84000;797
27015;1;28/05/2020;84000;10186
27016;1;29/05/2020;84000;15659
27017;1;02/06/2020;84000;11876
27018;1;03/06/2020;84000;4685
27019;1;04/06/2020;84000;16670
27020;1;05/06/2020;84000;1524
27021;1;06/06/2020;84000;4264
27022;1;11/06/2020;84000;10015
27023;1;12/06/2020;84000;3517
27024;1;15/06/2020;84000;3493
27025;1;18/06/2020;84000;8917
27026;1;19/06/2020;84000;3430
27027;1;20/06/2020;84000;4198
27028;1;23/06/2020;84000;168
27029;1;24/06/2020;84000;13955
27030;1;25/06/2020;84000;682
27031;1;14/02/2020;840000;11742
27032;1;18/02/2020;840000;10358
27033;1;21/02/2020;840000;16617
27034;1;28/02/2020;840000;14922
27035;1;29/02/2020;840000;13476
27036;1;04/03/2020;840000;6783
27037;1;10/03/2020;840000;2969
27038;1;30/04/2020;840000;14260
27039;1;19/05/2020;840000;6899
27040;1;29/05/2020;840000;9962
27041;1;19/06/2020;840000;14399
27042;1;30/06/2020;840000;14639
27043;1;15/05/2020;84010;3591
27044;1;02/01/2020;840250;15128
27045;1;05/02/2020;840360;16019
27046;1;14/05/2020;84050;9065
27047;1;22/05/2020;840500;11449
27048;1;12/02/2020;840910;7457
27049;1;09/06/2020;84112;7808
27050;1;26/02/2020;84200;1729
27051;1;20/05/2020;84200;4039
27052;1;03/06/2020;84200;878
27053;1;08/01/2020;842000;16288
27054;1;19/05/2020;84250;17047
27055;1;13/03/2020;842500;13738
27056;1;21/01/2020;84300;764
27057;1;22/02/2020;84300;1190
27058;1;15/05/2020;843000;15358
27059;1;09/06/2020;843000;14088
27060;1;31/01/2020;843040;12097
27061;1;20/05/2020;84340;5290
27062;1;29/01/2020;84350;10455
27063;1;18/02/2020;84400;5164
27064;1;24/04/2020;84400;734
27065;1;22/05/2020;844000;11077
27066;1;25/02/2020;844265;11104
27067;1;25/03/2020;844450;13335
27068;1;10/06/2020;844800;15715
27069;1;07/01/2020;84500;4158
27070;1;20/01/2020;84500;3145
27071;1;29/01/2020;84500;882
27072;1;30/01/2020;84500;4914
27073;1;07/02/2020;84500;3985
27074;1;14/02/2020;84500;2335
27075;1;24/04/2020;84500;603
27076;1;19/05/2020;84500;10257
27077;1;04/06/2020;84500;1091
27078;1;18/06/2020;84500;4453
27079;1;19/06/2020;84500;5662
27080;1;30/06/2020;84500;3832
27081;1;10/01/2020;845000;11067
27082;1;14/05/2020;845000;17195
27083;1;25/06/2020;845000;11360
27084;1;09/03/2020;845400;7391
27085;1;08/01/2020;845575;13459
27086;1;31/03/2020;84563;4189
27087;1;04/06/2020;84650;10048
27088;1;21/04/2020;84663;441
27089;1;10/04/2020;84680;641
27090;1;28/05/2020;84700;8748
27091;1;25/06/2020;84700;1755
27092;1;19/06/2020;847112;10933
27093;1;20/03/2020;84750;6325
27094;1;28/02/2020;847500;14136
27095;1;13/03/2020;847650;13894
27096;1;07/01/2020;84800;5260
27097;1;15/05/2020;84800;7878
27098;1;23/06/2020;84800;17106
27099;1;27/04/2020;848350;14797
27100;1;30/04/2020;84870;3292
27101;1;17/01/2020;84900;1096
27102;1;11/03/2020;84900;757
27103;1;14/05/2020;849000;13298
27104;1;18/05/2020;849000;13416
27105;1;27/05/2020;849000;9507
27106;1;29/05/2020;849000;10903
27107;1;25/06/2020;849000;13407
27108;1;24/01/2020;849200;11815
27109;1;06/02/2020;849300;13220
27110;1;14/02/2020;849490;10097
27111;1;31/01/2020;84987;3258
27112;1;08/01/2020;85000;4806
27113;1;10/01/2020;85000;2820
27114;1;13/01/2020;85000;1379
